A̱o,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2015,Robo de coche de 4 ruedas Con violencia,50,53,62,43,66,43,27,44,44,39,42.0,39.0
2015,Robo de coche de 4 ruedas Sin violencia,100,107,137,132,119,106,137,135,144,155,143.0,167.0
2015,Robo de motocicleta Con violencia,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2015,Robo de motocicleta Sin violencia,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2016,Robo de coche de 4 ruedas Con violencia,26,37,47,50,41,45,75,75,70,57,58.0,43.0
2016,Robo de coche de 4 ruedas Sin violencia,178,172,177,171,149,130,107,141,147,151,141.0,129.0
2016,Robo de motocicleta Con violencia,9,5,6,10,12,10,8,16,8,7,7.0,8.0
2016,Robo de motocicleta Sin violencia,44,25,32,32,30,29,37,43,63,28,36.0,38.0
2017,Robo de coche de 4 ruedas Con violencia,84,36,37,56,54,54,48,46,51,50,34.0,47.0
2017,Robo de coche de 4 ruedas Sin violencia,144,171,175,159,164,131,112,147,120,153,143.0,85.0
2017,Robo de motocicleta Con violencia,10,8,10,11,9,7,7,10,3,5,4.0,3.0
2017,Robo de motocicleta Sin violencia,40,35,34,30,21,26,20,26,18,27,25.0,25.0
2018,Robo de coche de 4 ruedas Con violencia,27,24,15,28,27,24,21,32,21,28,26.0,11.0
2018,Robo de coche de 4 ruedas Sin violencia,73,84,97,106,93,111,113,64,27,53,60.0,48.0
2018,Robo de motocicleta Con violencia,5,4,3,6,5,3,2,3,1,2,3.0,6.0
2018,Robo de motocicleta Sin violencia,19,26,26,20,13,14,14,10,4,5,7.0,8.0
2019,Robo de coche de 4 ruedas Con violencia,20,28,15,21,27,22,20,28,23,26,43.0,31.0
2019,Robo de coche de 4 ruedas Sin violencia,80,84,82,70,63,71,74,70,77,76,108.0,78.0
2019,Robo de motocicleta Con violencia,1,1,2,5,1,1,2,1,0,1,4.0,1.0
2019,Robo de motocicleta Sin violencia,14,5,14,16,15,21,21,25,15,11,23.0,23.0
2020,Robo de coche de 4 ruedas Con violencia,50,46,37,25,27,37,27,26,45,40,29.0,49.0
2020,Robo de coche de 4 ruedas Sin violencia,89,97,103,79,102,79,90,88,119,145,136.0,120.0
2020,Robo de motocicleta Con violencia,3,0,1,4,4,6,10,8,2,4,8.0,4.0
2020,Robo de motocicleta Sin violencia,9,15,19,19,22,27,33,31,38,21,28.0,32.0
2021,Robo de coche de 4 ruedas Con violencia,50,37,63,54,69,59,72,82,78,51,54.0,59.0
2021,Robo de coche de 4 ruedas Sin violencia,134,119,187,146,163,111,198,327,172,181,158.0,150.0
2021,Robo de motocicleta Con violencia,12,6,9,3,9,6,8,14,4,10,12.0,4.0
2021,Robo de motocicleta Sin violencia,25,26,53,54,53,35,73,93,75,74,78.0,74.0
2022,Robo de coche de 4 ruedas Con violencia,89,80,74,65,65,51,43,46,33,59,53.0,42.0
2022,Robo de coche de 4 ruedas Sin violencia,148,175,183,142,165,153,111,80,84,84,113.0,89.0
2022,Robo de motocicleta Con violencia,4,9,15,4,12,8,15,10,11,13,10.0,2.0
2022,Robo de motocicleta Sin violencia,65,57,81,85,65,110,120,82,125,106,130.0,97.0
2023,Robo de coche de 4 ruedas Con violencia,47,34,26,36,35,35,48,65,48,58,39.0,20.0
2023,Robo de coche de 4 ruedas Sin violencia,158,115,91,94,67,110,100,120,108,163,106.0,102.0
2023,Robo de motocicleta Con violencia,10,9,8,9,8,9,10,10,9,5,9.0,4.0
2023,Robo de motocicleta Sin violencia,120,74,92,90,41,41,26,15,11,15,21.0,8.0
2024,Robo de coche de 4 ruedas Con violencia,28,37,41,41,40,55,37,33,45,46,25.0,36.0
2024,Robo de coche de 4 ruedas Sin violencia,82,87,82,77,74,82,63,91,99,98,104.0,110.0
2024,Robo de motocicleta Con violencia,7,6,7,1,8,6,3,10,11,10,14.0,10.0
2024,Robo de motocicleta Sin violencia,24,40,17,32,15,12,16,19,21,14,23.0,19.0
2025,Robo de coche de 4 ruedas Con violencia,30,20,30,33,22,33,14,14,15,11,,
2025,Robo de coche de 4 ruedas Sin violencia,97,110,110,98,75,54,38,48,42,38,,
2025,Robo de motocicleta Con violencia,8,4,6,15,3,3,5,5,4,3,,
2025,Robo de motocicleta Sin violencia,11,6,6,8,5,7,10,7,11,3,,
